w_code	w_name	population
40116	BEGI	149063
40117	Gimbi City	44869
40118	Seyo Nole	94504
40119	Homa	30870
40120	Ayira	60017
40201	Haro Limu	64543
40202	Ebantu	44823
40203	Gida Keremu	143746
40204	Limu	91380
40205	Boneya Bushe	59774
40206	Wayu Tuqa	82509
40207	Gudeyabila	68863
40208	Gobu Seyo	53436
40209	Sibu Sire	128497
40210	Diga	86247
40211	Sasiga	101746
40212	Leqa Dulecha	91588
40213	Guto Gida	114532
40214	Jimma Arjo	111276
40215	Nunu Qumba	82434
40216	Wama Hagelo	60755
40217	Nekemte Town	110081
40301	Darimu	182066
40302	Algesachi	97175
40303	CHORA	125818
40304	Diga	49417
40305	Dabo Hana	53047
40306	Gechi	89396
40307	Boricha	91734
40308	DiEDESA	107248
40309	Yayu	66855
40310	METU	75053
40311	Ale	81282
40312	Bure	63977
40313	Nono Sele	28678
40314	Becho	31170
40315	BILONOPA	36318
40316	Hurumu	53666
40317	Dedu	40607
40318	Meko	27595
40319	Halu	21825
40320	METU TOWN	42456
40321	Bedele Town	27950
40322	Bedele	97738
40323	CHEWAQA	70016
40324	Doreni	45414
40401	Limu Seka	142091
40402	Limu Kosa	204600
40403	Sokoru	171161
40404	TIRO AFETA	165645
40405	Kerisa	204084
40406	Mana	186071
40407	Gomma	270918
40408	Gera	143626
40409	Seka Chekorsa	256837
40410	Dedo	360691
40411	Omonada	306934
40412	SIGMO	115829
40413	Setema	129318
40414	Shebe Senbo	139965
40415	Chora Boter	114088
40416	Guma	77017
40417	Agaro	36856
40501	Ginde Beret	127674
40502	Jeldu	253606
40503	Ambo	137375
40504	Midakegni	98160
40505	Chelia	107391
40506	Bako Tibe	157376
40507	Dano	124151
40508	Nono	104888
40509	Tikur Enchini	89486
40510	Dendi	215910
40511	Ejerie	112378
40512	Welmera	104342
40513	Adea Berga	151918
40514	Metarobi	174768
40515	Ambo Town	72034
40516	Abuna Gindeberet	136096
40517	Toko Kutaye	151536
40518	Jibat	88845
40519	Elifata	71363
40520	Holeta Town	42842
40601	Were Jarso	186654
40602	Dera	226475
40603	Hidabu Abote	107701
40604	Kuyu	161197
40605	Degem	122723
40606	Girar Jarso	83285
40607	Debre Libanos	60058
40608	Wuchale	121879
40609	ABICHUGNA	91530
40610	Kimbibit	94190
40611	Bereh	100495
40612	Sulullta	144633
40613	FicheTown	39390
40614	Yaya Gulele	68522
40615	Jido	66542
40616	Mulo	43924
40617	Aleiltu	66723
40618	Sendafa Town	15405
40701	Fentale	76367
40702	Boset	179919
40703	Adama	197362
40704	Lomme	110620
40705	Gimbichu	107961
40706	Adaa	162457
40707	Dugda	186337
40708	Adami Tulu Jido Kombolcha	180887
40709	Bishoftu Town	143466
40710	Bora	74921
40711	Liben	95574
40712	Akaki	88064
40713	Zeway  Town	62494
40801	Merti	114716
40802	Aseko	104209
40803	gololcha	214777
40804	Jeju	154819
40805	Dodota	82073
40806	Zeway Dugda	150645
40807	Hitosa	157290
40808	Sude	180831
40809	Chole	110459
40810	Amigna	91874
40811	Seru	59921
40812	Robe	207294
40813	Tena	84423
40814	Shirka	204307
40815	Digeluna Tijo	176517
40816	Tiyo	108604
40817	Munesa	208909
40818	Limuna Bilbilo	204417
40819	Guna	95578
40820	Sire	93159
40821	Ludehetosa	136259
40822	Diksis	90487
40823	Bale Gasera	93742
40824	Honolo kEnkelo Wabe	74675
40825	Asela Town	96371
40901	Meiso	185712
40902	Doba	166374
40903	Tulo	183966
40904	Mesela	166408
40905	CHIRO TOWN	48211
40906	Anchar	105771
40907	Guba Qoricha	153080
40908	Habro	242209
40909	Daro lebu	186699
40910	Boke	102129
40911	kUNI	196854
40912	Gemechis	228504
40913	CHIRO	210765
40914	BEDESA TOWN	26057
41001	Kombolicha	176673
41002	Jarso	148661
41003	Gursum	193990
41004	BABILE	119387
41005	Fedis	142496
41006	Haromaya	312266
41007	Kurfa Chele	73786
41008	kERSA	215951
41009	Meta	315061
41010	Goro Gutu	180046
41011	Deder	285794
41012	Melka Belo	220640
41013	Bedeno	298099
41014	Medega Tole	94995
41015	Chinakesen	112515
41016	Gurawa	299446
41017	Gole Oda	99672
41018	Meyu Muleke	58497
41104	Agarfa	131905
41105	GOLOLCHA	126402
41106	Gasera	98257
41107	LEGEHIDA	77751
41108	GINIR	179793
41109	Sinana	147526
41110	Goba	50414
41111	Harena Buluq	101794
41112	Delo Mena	118456
41113	Meda Melabu	121633
41114	BERBERE	112735
41115	Gura Damole	37274
41116	GORO	106883
41117	Raitu	41667
41118	SEWEYNA	82208
41119	Robe Town	67776
41120	Goba Town	47169
41121	Dawe Qachen	38324
41122	Dinsho	48985
41206	Bule Hora	336622
41207	YABELO	104743
41208	Arero	41523
41210	MOYALE	38560
